,Unnamed: 0,Unnamed: 1,CarryOut Express Groody,Full Description,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,,,,,,,,,,,Start Dept: A
1,,,,,,,,,,,,End Dept: Z
259,,,,,,,,,,,,
260,9002490210991,63075,RED BULL ENERGY CAN 473ML,,BARRYS,,,,0,0,3,
261,90162800,63033,RED BULL SUGAR FREE CAN,RED BULL SUGAR FREE CAN 250ML,BARRYS,,,,0,0,23,
262,,,250ML,,,,,,,,,
263,9002490206215,63151,RED BULL SUGAR FREE CAN,RED BULL SUGAR FREE CAN 355ML,BARRYS,,,,0,0,34,
264,,,355ML,,,,,,,,,
265,9002490205713,63036,RED BULL SUGARFREE 250ML,RED BULL SUGARFREE 250ML 4PK,BARRYS,,,,0,0,3,
266,,,4PK,4PK ,,,,,,,,
267,,,,,,,,,,,,
268,90415425,63027,RED BULL ZERO CAN 250ML,RED BULL ZERO CAN 250ML ,BARRYS,,,,0,0,64,
269,,,,,,,,,,,,
270,5026791442008,65082,RIVER ROCK SPARKLING 2L,RIVER ROCK SPARKLING 2L ,BARRYS,,,,0,0,20,
271,,,,,,,,,,,,
272,5026791542203,65418,RIVER ROCK SPARKLING 500ML,RIVER ROCK SPARKLING 500ML ,BARRYS,,,,0,0,51,
273,,,,,,,,,,,,
274,5026791543002,65419,RIVER ROCK STILL 500ML,RIVER ROCK STILL 500ML ,BARRYS,,,,0,0,51,
275,,,,,,,,,,,,
276,5026791543507,65417,RIVER ROCK STILL 750ML 15/12,,BARRYS,,,,0,0,6,
277,5449000064219,65116,SCHWEPPES SLIMLINE TONIC,SCHWEPPES SLIMLINE TONIC WATER 1L,BARRYS,,,,0,0,1,
278,,,WATER 1L,WATER 1L ,,,,,,,,
279,,,,,,,,,,,,
280,5449000014917,65121,SCHWEPPES SODA WATER 1L,SCHWEPPES SODA WATER 1L ,BARRYS,,,,0,0,38,
281,,,,,,,,,,,,
282,5011026008708,65119,SCHWEPPES TONIC WATER 1L,SCHWEPPES TONIC WATER 1L ,BARRYS,,,,0,0,17,
283,,,,,,,,,,,,
284,5449000104885,65252,SPRITE NO SUGAR 2L,SPRITE NO SUGAR 2L ,BARRYS,,,,0,0,7,
285,,,,,,,,,,,,
286,5449000106704,,SPRITE NO SUGAR CAN 330ML,,GWL,,,,0,0,9,
287,5449000109613,65052,SPRITE NO SUGAR CONTOUR,SPRITE NO SUGAR CONTOUR BOTTLE500ML,BARRYS,,,,0,0,48,
288,,,BOTTLE500ML,BOTTLE500ML ,,,,,,,,
289,,,,,,,,,,,,
290,5449000004864,65297,SPRITE REGULAR 2L,,BARRYS,,,,0,0,15,
291,Created using Rs-BackOffice v122.10.6 - www.RetailSolutions.ie,,,,,,,,,,Page : 4 / ,15
292,TILL 01 GROO-07/04/2023 00:50:32,,,,,,,,,,,
293,Barcode,Stock Code,Description,Description ,Supplier,,Location,,On Order,Reserved,On Hand,
294,,,,,,,,,,,,
295,5449000014535,65300,SPRITE REGULAR CAN 330ML,SPRITE REGULAR CAN 330ML ,BARRYS,,,,0,0,48,
296,,,,,,,,,,,,
297,5011026005240,65274,TK ORANGE 2L,TK ORANGE 2L ,BARRYS,,,,0,0,21,
298,,,,,,,,,,,,
299,5011026005226,65276,TK RED LEMONADE 2L,TK RED LEMONADE 2L ,BARRYS,,,,24,0,8,
300,,,,,,,,,,,,
301,5011026005233,65275,TK WHITE LEMONADE 2L,TK WHITE LEMONADE 2L ,BARRYS,,,,0,0,119,
302,,,,,,,,,,,,
303,3057640100178,65552,VOLVIC STILL 1.5L,VOLVIC STILL 1.5L ,BARRYS,,,,0,0,59,
304,,,,,,,,,640,0,2189,
305,D,,CIDERS,,,,,,,,,
306,5391522120013,56829,BULMERS LIGHT BOTTLE 1L,BULMERS LIGHT BOTTLE 1L 0.045,BARRYS,,,,0,0,34,
307,,,0.045,0.045 ,,,,,,,,
308,,,,,,,,,,,,
309,5391522120655,56836,BULMERS LIGHT CAN 500ML 8PK,,BARRYS,,,,0,0,27,
310,5391516872935,56825,BULMERS ORIG 300ML BOT 20PK,BULMERS ORIG 300ML BOT 20PK 0.045,BARRYS,,,,0,0,215,
311,,,0.045,,,,,,,,,
312,5391522120846,77968,BULMERS STWB/LIME CAN 500,BULMERS STWB/LIME CAN 500 4PK,BARRYS,,,,0,0,57,
313,,,4PK,,,,,,,,,
314,7393714505347,77920,KOPP MIXED FRUIT BTL 330ML,KOPP MIXED FRUIT BTL 330ML 4PK 5.3%,BARRYS,,,,0,0,10,
315,,,4PK 5.3%,,,,,,,,,
316,7393714505941,77410,KOPP STRAW&LIME N/A BTL,KOPP STRAW&LIME N/A BTL 330ML 4PK,BARRYS,,,,0,0,1,
317,,,330ML 4PK,,,,,,,,,
318,7393714505040,77921,KOPP STRAW/LIME BTL 330ML,KOPP STRAW/LIME BTL 330ML 4PK 4%,BARRYS,,,,0,0,21,
319,,,4PK 4%,,,,,,,,,
320,7393714515902,78980,KOPP/B MIXED FRUIT BOT 500ML,KOPP/B MIXED FRUIT BOT 500ML 0.04,BARRYS,,,,0,0,25,
321,,,0.04,,,,,,,,,
322,7393714899910,58694,KOPP/B MXD FR CAN 500ML4PK,KOPP/B MXD FR CAN 500ML4PK PM11 4%,BARRYS,,,,0,0,27,
323,,,PM11 4%,,,,,,,,,
324,7393714899897,58695,KOPP/B STR&LIM CAN 500MLx4,KOPP/B STR&LIM CAN 500MLx4 4% E11.0,BARRYS,,,,30,0,15,
325,,,4% E11.0,,,,,,,,,
326,7393714515506,79041,KOPP/B STRAW+LIME BOT,KOPP/B STRAW+LIME BOT 500ML 4%,BARRYS,,,,0,0,12,
327,,,500ML 4%,,,,,,,,,
328,7393714374288,79046,KOPP/B STRAW+LIME CAN,KOPP/B STRAW+LIME CAN 500ML 4%,BARRYS,,,,0,0,2,
